14,15,46
38,39,40
1,36,0
1,41,36
1,41,2
29,39,40
29,28,39
42,29,28
45,15,16
45,15,46
45,26,16
45,26,25
17,36,0
17,18,36
5,6,59
54,13,14
54,13,12
54,11,12
54,55,64
54,55,11
37,18,19
37,18,36
37,41,36
37,38,40
37,41,40
21,38,39
48,3,4
48,5,4
48,5,59
27,42,22
27,42,28
27,28,39
27,21,39
43,23,22
43,42,22
35,29,30
35,14,46
35,54,14
58,7,8
10,55,11
20,21,38
20,37,19
20,37,38
60,48,59
48,3,2
31,48,2
31,41,2
31,41,40
31,29,40
31,29,30
31,32,30
47,43,42
47,35,46
47,42,29
47,35,29
44,45,25
44,43,23
44,45,46
44,47,46
44,47,43
33,32,30
50,33,51
50,33,32
49,60,48
49,31,48
50,31,32
49,50,31
61,60,67
60,67,59
24,44,25
24,44,23
52,63,51
52,33,51
58,67,59
58,57,8
58,6,59
58,7,6
56,65,55
56,10,9
56,10,55
56,9,8
56,57,8
66,58,57
66,58,67
66,56,57
66,56,65
61,49,60
61,49,50
61,50,51
34,52,35
34,52,33
34,35,30
34,33,30
53,52,35
53,54,64
53,35,54
53,52,63
63,53,64
64,65,55
64,65,63
62,65,63
62,66,65
62,63,51
62,61,51
62,66,67
62,61,67
21,22,27
20,21,22
22,20,23
19,20,23
19,23,24
